1000
1	299
1	665
1	679
1	684
1	686
1	857
1	994
2	261
2	281
2	523
2	949
2	966
2	967
2	993
3	134
3	737
3	761
3	808
3	914
3	933
3	979
4	523
4	648
4	740
4	783
4	898
4	942
4	991
5	594
5	720
5	749
5	867
5	875
5	909
5	976
6	498
6	786
6	798
6	839
6	853
6	864
6	939
7	14
7	51
7	495
7	661
7	693
7	734
7	857
8	24
8	178
8	271
8	313
8	462
8	608
8	964
9	363
9	751
9	852
9	908
9	942
9	981
9	1000
10	233
10	728
10	803
10	874
10	962
10	977
10	994
11	260
11	316
11	758
11	896
11	897
11	949
11	979
12	443
12	607
12	729
12	822
12	839
12	917
12	986
13	45
13	710
13	714
13	778
13	873
13	895
13	966
14	7
14	48
14	433
14	830
14	970
14	972
14	984
15	572
15	711
15	820
15	901
15	909
15	934
15	983
16	121
16	489
16	710
16	845
16	895
16	954
16	978
17	681
17	859
17	869
17	886
17	916
17	924
17	954
18	667
18	700
18	756
18	913
18	957
18	979
18	999
19	125
19	310
19	374
19	755
19	905
19	917
19	961
20	32
20	348
20	507
20	613
20	641
20	875
20	887
21	95
21	195
21	264
21	337
21	826
21	913
21	943
22	515
22	667
22	701
22	802
22	847
22	886
22	962
23	29
23	420
23	634
23	695
23	811
23	867
23	991
24	8
24	632
24	830
24	835
24	885
24	939
24	962
25	164
25	618
25	677
25	753
25	841
25	929
25	967
26	406
26	838
26	888
26	955
26	959
26	990
26	992
27	184
27	340
27	371
27	546
27	731
27	837
27	993
28	637
28	707
28	723
28	850
28	918
28	984
28	991
29	23
29	193
29	478
29	525
29	613
29	941
29	950
30	147
30	318
30	790
30	829
30	874
30	891
30	971
31	185
31	304
31	726
31	730
31	911
31	978
31	992
32	20
32	278
32	723
32	889
32	890
32	981
32	984
33	51
33	280
33	695
33	773
33	867
33	876
33	990
34	200
34	489
34	611
34	882
34	914
34	933
34	966
35	180
35	653
35	774
35	806
35	873
35	924
35	928
36	277
36	624
36	670
36	761
36	870
36	900
36	933
37	399
37	475
37	488
37	522
37	786
37	839
37	961
38	645
38	722
38	779
38	841
38	896
38	914
38	969
39	209
39	374
39	522
39	563
39	917
39	943
39	995
40	271
40	308
40	688
40	754
40	921
40	972
40	991
41	121
41	553
41	720
41	778
41	817
41	932
41	967
42	175
42	744
42	801
42	845
42	934
42	946
42	984
43	562
43	590
43	673
43	728
43	922
43	927
43	997
44	109
44	184
44	392
44	579
44	799
44	923
44	940
45	13
45	205
45	477
45	516
45	884
45	904
45	973
46	444
46	630
46	762
46	834
46	854
46	859
46	993
47	495
47	817
47	855
47	879
47	923
47	940
47	973
48	14
48	487
48	768
48	889
48	938
48	981
48	988
49	182
49	395
49	523
49	583
49	851
49	900
49	988
50	171
50	267
50	654
50	815
50	941
50	988
50	991
51	7
51	33
51	411
51	733
51	848
51	867
51	979
52	448
52	456
52	604
52	835
52	924
52	994
52	997
53	372
53	643
53	644
53	683
53	764
53	956
53	998
54	300
54	355
54	467
54	610
54	713
54	866
54	878
55	363
55	525
55	800
55	852
55	866
55	894
55	980
56	94
56	190
56	714
56	841
56	896
56	932
56	960
57	235
57	311
57	448
57	800
57	844
57	873
57	897
58	66
58	103
58	358
58	404
58	717
58	735
58	946
59	347
59	601
59	899
59	955
59	958
59	994
59	998
60	338
60	672
60	734
60	882
60	954
60	976
60	991
61	615
61	620
61	691
61	887
61	961
61	975
61	980
62	287
62	598
62	707
62	748
62	798
62	845
62	889
63	318
63	335
63	462
63	839
63	962
63	968
63	989
64	244
64	272
64	686
64	744
64	845
64	983
64	988
65	261
65	852
65	857
65	935
65	974
65	983
65	996
66	58
66	730
66	745
66	808
66	809
66	954
66	993
67	583
67	623
67	648
67	789
67	931
67	964
67	974
68	577
68	698
68	699
68	889
68	908
68	913
68	990
69	521
69	799
69	817
